run_type,param2,param3,weights,model_setting,model,mae_raw,mae_weighted,crps_raw,crps_weighted,mae_improvement_pct,crps_improvement_pct
calibration,0.25,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.0871657432481765,2.6752354844264814,2.461066894741472,5.955266319541945,6.867297040475036
calibration,0.25,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.058187546032215,2.6752354844264814,2.444817022485461,6.323584149633172,7.373832780560465
calibration,0.25,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.033063997481878,2.6752354844264814,2.430878469864879,6.643508779293792,7.8104814342198265
calibration,0.25,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,6.0110566969343875,2.6752354844264814,2.4189013754156528,6.922770680279332,8.18735954555593
calibration,0.25,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.991300082061735,2.6752354844264814,2.4084870308911106,7.1734684221367635,8.51619894174631
calibration,0.25,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.974177924239636,2.6752354844264814,2.399311959518821,7.39070558160041,8.806275888930823
calibration,0.25,0.45,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.958783554003818,2.6752354844264814,2.391181768307683,7.585657298295592,9.06332771001903
calibration,0.25,0.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.944747800497196,2.6752354844264814,2.3839315883892214,7.763095972629003,9.292630692648267
calibration,0.25,0.55,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.931943274997041,2.6752354844264814,2.377392595228144,7.925966096280719,9.499440857363945
calibration,0.25,0.6,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.92068230782476,2.6752354844264814,2.3714374653062444,8.068814015822628,9.68762223567623
calibration,0.25,0.65,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.910494076313777,2.6752354844264814,2.3660209784729216,8.197875777209532,9.85876639536728
calibration,0.25,0.7,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.901089461635864,2.6752354844264814,2.361091111938563,8.316500128263817,10.014480957940965
